Name,Taxa,Family,Location,Env,Yield,TSTWT,Protein,Height,DTH
LDRC99_95,EA_514,LDRC99,Spillman,2014,0.934264667,57.70315933,15.26039867,44.72218667,180.0126427
LDRC99_98,EA_515,LDRC99,Spillman,2014,1.776964667,61.10265933,12.55999867,39.72218667,179.0126427
LDRC99_99,EA_516,LDRC99,Spillman,2014,1.905964667,58.10265933,13.15999867,34.72218667,179.0126427
LDRC99_100,EA_517,LDRC99,Spillman,2014,1.083964667,59.10265933,15.16039867,41.72198667,178.0126427
LDRC99_101,EA_518,LDRC99,Spillman,2014,1.458964667,58.60265933,15.46039867,37.72218667,182.0126427
LDRC99_102,EA_519,LDRC99,Spillman,2014,1.743964667,55.50265933,13.96039867,34.72218667,181.0126427
LDRC99_105,EA_520,LDRC99,Spillman,2014,1.368964667,59.80265933,14.36039867,41.72198667,183.0126427
LDRC99_106,EA_521,LDRC99,Spillman,2014,1.899964667,59.50265933,14.16039867,32.72218667,178.0126427
LDRC99_107,EA_522,LDRC99,Spillman,2014,2.307964667,59.20265933,12.15999867,34.72218667,179.0126427
LDRC99_108,EA_523,LDRC99,Spillman,2014,1.761964667,58.10265933,15.36039867,39.72218667,181.0126427
LDRC99_109,EA_524,LDRC99,Spillman,2014,1.959964667,56.40315933,13.86039867,34.72218667,180.0126427
LDRC99_110,EA_525,LDRC99,Spillman,2014,1.638964667,57.20315933,14.76039867,45.72218667,182.0126427
PBW_72,EA_576,PBW,Spillman,2014,1.920964667,57.20315933,13.96039867,33.72218667,181.0126427
PBW_73,EA_577,PBW,Spillman,2014,2.155364667,58.32165933,14.64143867,31.87018667,183.1256427
PBW_74,EA_578,PBW,Spillman,2014,2.221364667,58.32165933,14.54143867,34.87018667,183.1256427
PBW_75,EA_579,PBW,Spillman,2014,2.380364667,59.62165933,14.54143867,36.87018667,184.1256427
PBW_76,EA_580,PBW,Spillman,2014,1.645364667,58.52165933,15.14139867,34.87018667,178.1256427
PBW_77,EA_581,PBW,Spillman,2014,1.912364667,56.32155933,15.04139867,32.87018667,182.1256427
PBW_78,EA_582,PBW,Spillman,2014,1.831364667,55.62165933,14.64143867,32.87018667,183.1256427
PBW_79,EA_583,PBW,Spillman,2014,1.699364667,58.02155933,12.84099867,31.87018667,178.1256427
PBW_80,EA_584,PBW,Spillman,2014,1.738364667,59.42165933,14.44139867,31.87018667,179.1256427
PBW_81,EA_585,PBW,Spillman,2014,2.008364667,59.32165933,14.54143867,30.86618667,184.1256427
PBW_82,EA_586,PBW,Spillman,2014,1.825364667,58.02155933,13.84139867,30.86618667,181.1256427
PBW_83,EA_587,PBW,Spillman,2014,1.792364667,57.12154933,14.34139867,32.87018667,178.1256427
PBW_85,EA_589,PBW,Spillman,2014,2.146364667,57.82155933,14.94139867,28.86618667,179.1256427
PBW_86,EA_590,PBW,Spillman,2014,1.936364667,59.52165933,15.24139867,31.87018667,178.1256427
PBW_87,EA_591,PBW,Spillman,2014,2.335364667,56.22155933,13.14099867,34.87018667,181.1256427
PBW_88,EA_592,PBW,Spillman,2014,2.167364667,57.62155933,14.54143867,31.87018667,180.1256427
PBW_89,EA_593,PBW,Spillman,2014,2.440364667,56.82155933,14.34139867,32.87018667,181.1256427
PBW_90,EA_594,PBW,Spillman,2014,2.377364667,56.72155933,15.44139867,33.87018667,182.1256427
PBW_91,EA_595,PBW,Spillman,2014,2.230364667,57.72155933,14.84139867,31.87018667,178.1256427
PBW_92,EA_596,PBW,Spillman,2014,2.152364667,55.12165933,14.24139867,32.87018667,178.1256427
PBW_93,EA_597,PBW,Spillman,2014,2.359364667,63.72165933,13.94139867,32.87018667,182.1256427
PBW_94,EA_598,PBW,Spillman,2014,2.236364667,58.82165933,14.14139867,30.86618667,178.1256427
PBW_95,EA_599,PBW,Spillman,2014,2.182364667,57.92155933,14.04139867,32.87018667,179.1256427
PBW_96,EA_600,PBW,Spillman,2014,1.939364667,58.22165933,14.64143867,33.87018667,184.1256427
VIDA_45,EA_651,VIDA,Spillman,2014,2.470394667,58.12155933,13.94099867,29.87118667,179.1259427
VIDA_67,EA_652,VIDA,Spillman,2014,2.554364667,61.32165933,13.14099867,31.87018667,177.1256427
VIDA_68,EA_653,VIDA,Spillman,2014,2.197364667,60.72165933,14.34139867,35.87018667,178.1256427
VIDA_71,EA_654,VIDA,Spillman,2014,2.581364667,57.22155933,13.24099867,35.87018667,178.1256427
VIDA_72,EA_655,VIDA,Spillman,2014,2.518364667,57.12154933,15.74099867,31.87018667,176.1256427
VIDA_74,EA_656,VIDA,Spillman,2014,2.521364667,60.12165933,14.64143867,36.87018667,179.1256427
VIDA_75,EA_657,VIDA,Spillman,2014,2.140364667,56.62155933,15.34139867,35.87018667,179.1256427
VIDA_76,EA_658,VIDA,Spillman,2014,2.320364667,58.92165933,14.64143867,36.87018667,178.1256427
VIDA_77,EA_659,VIDA,Spillman,2014,2.377364667,57.02154933,13.14099867,31.87018667,179.1256427
VIDA_78,EA_660,VIDA,Spillman,2014,2.539364667,59.22165933,14.44139867,33.87018667,178.1256427
VIDA_79,EA_661,VIDA,Spillman,2014,2.149364667,57.32155933,15.04139867,32.87018667,181.1256427
VIDA_81,EA_662,VIDA,Spillman,2014,2.095364667,55.32165933,15.34139867,29.86618667,181.1256427
VIDA_83,EA_663,VIDA,Spillman,2014,2.431364667,57.22155933,14.34139867,33.87018667,179.1256427
VIDA_86,EA_664,VIDA,Spillman,2014,2.533364667,59.32165933,14.14139867,32.87018667,179.1256427
VIDA_87,EA_665,VIDA,Spillman,2014,2.074364667,54.12165933,14.94139867,33.87018667,178.1256427
VIDA_88,EA_666,VIDA,Spillman,2014,2.254364667,56.62155933,15.04139867,34.87018667,179.1256427
VIDA_89,EA_667,VIDA,Spillman,2014,2.506364667,57.82155933,14.44139867,30.86618667,178.1256427
VIDA_91,EA_668,VIDA,Spillman,2014,2.260364667,58.52165933,14.04139867,34.87018667,179.1256427
VIDA_92,EA_669,VIDA,Spillman,2014,2.050364667,56.22155933,14.04139867,32.87018667,178.1256427
VIDA_93,EA_670,VIDA,Spillman,2014,1.909364667,60.12165933,15.04139867,29.86618667,183.1256427
VIDA_95,EA_671,VIDA,Spillman,2014,1.915364667,59.12165933,15.24139867,34.87018667,182.1256427
VIDA_96,EA_672,VIDA,Spillman,2014,1.906364667,54.62165933,16.34099867,32.87018667,178.1256427
VIDA_97,EA_673,VIDA,Spillman,2014,1.996364667,56.52155933,13.84139867,34.87018667,178.1256427
VIDA_99,EA_674,VIDA,Spillman,2014,2.062364667,58.12165933,15.14139867,32.87018667,183.1256427
VIDA_101,EA_675,VIDA,Spillman,2014,2.257364667,56.72155933,14.74139867,34.87018667,182.1256427
LDRC16_74,EA_726,LDRC16,Spillman,2014,2.186464667,60.83165933,13.74189867,38.10018667,176.0796427
LDRC16_76,EA_727,LDRC16,Spillman,2014,0.969264667,57.83195933,15.74199867,45.10018667,178.0796427
LDRC16_77,EA_728,LDRC16,Spillman,2014,2.054446667,60.43165933,14.34189867,41.10058667,173.0756427
